time,steps,chi,alpha,qubit_amp,detuning,err
500,250,-6.599999999999999e-05,5,0.01,-0.01,0.9397195
1000,250,-6.599999999999999e-05,5,0.01,-0.01,0.79898
1500,250,-6.599999999999999e-05,5,0.01,-0.01,0.69290316
2000,250,-6.599999999999999e-05,5,0.01,-0.01,0.663077
500,250,-6.599999999999999e-05,5,0.001,-0.01,0.9999998
1000,250,-6.599999999999999e-05,5,0.001,-0.01,0.9862918
1500,250,-6.599999999999999e-05,5,0.001,-0.01,0.96708107
2000,250,-6.599999999999999e-05,5,0.001,-0.01,0.9402719
500,250,-6.599999999999999e-05,5,0.0001,-0.01,0.9999998
1000,250,-6.599999999999999e-05,5,0.0001,-0.01,0.9999993
1500,250,-6.599999999999999e-05,5,0.0001,-0.01,0.9999984
2000,250,-6.599999999999999e-05,5,0.0001,-0.01,0.9999969
500,250,-6.599999999999999e-05,10,0.01,-0.01,0.767847
1000,250,-6.599999999999999e-05,10,0.01,-0.01,0.42563295
1500,250,-6.599999999999999e-05,10,0.01,-0.01,0.23427254
2000,250,-6.599999999999999e-05,10,0.01,-0.01,0.33055967
500,250,-6.599999999999999e-05,10,0.001,-0.01,0.98918474
1000,250,-6.599999999999999e-05,10,0.001,-0.01,0.9447994
1500,250,-6.599999999999999e-05,10,0.001,-0.01,0.87338966
2000,250,-6.599999999999999e-05,10,0.001,-0.01,0.77563846
500,250,-6.599999999999999e-05,10,0.0001,-0.01,0.9999993
1000,250,-6.599999999999999e-05,10,0.0001,-0.01,0.9999971
1500,250,-6.599999999999999e-05,10,0.0001,-0.01,0.99998933
2000,250,-6.599999999999999e-05,10,0.0001,-0.01,0.9993115
500,250,-6.599999999999999e-05,15,0.01,-0.01,0.5484371
1000,250,-6.599999999999999e-05,15,0.01,-0.01,0.034239173
1500,250,-6.599999999999999e-05,15,0.01,-0.01,0.00016134977
2000,250,-6.599999999999999e-05,15,0.01,-0.01,0.06534282
500,250,-6.599999999999999e-05,15,0.001,-0.01,0.9753051
1000,250,-6.599999999999999e-05,15,0.001,-0.01,0.879189
1500,250,-6.599999999999999e-05,15,0.001,-0.01,0.72905236
2000,250,-6.599999999999999e-05,15,0.001,-0.01,0.54958534
500,250,-6.599999999999999e-05,15,0.0001,-0.01,0.99999833
1000,250,-6.599999999999999e-05,15,0.0001,-0.01,0.99999344
1500,250,-6.599999999999999e-05,15,0.0001,-0.01,0.9993896
2000,250,-6.599999999999999e-05,15,0.0001,-0.01,0.99829566
500,250,-6.599999999999999e-05,20,0.01,-0.01,0.31625104
1000,250,-6.599999999999999e-05,20,0.01,-0.01,0.00029566884
1500,250,-6.599999999999999e-05,20,0.01,-0.01,0.0067675114
2000,250,-6.599999999999999e-05,20,0.01,-0.01,0.00026863813
500,250,-6.599999999999999e-05,20,0.001,-0.01,0.95892787
1000,250,-6.599999999999999e-05,20,0.001,-0.01,0.7929585
1500,250,-6.599999999999999e-05,20,0.001,-0.01,0.5529009
2000,250,-6.599999999999999e-05,20,0.001,-0.01,0.30372953
500,250,-6.599999999999999e-05,20,0.0001,-0.01,0.9999971
1000,250,-6.599999999999999e-05,20,0.0001,-0.01,0.99998707
1500,250,-6.599999999999999e-05,20,0.0001,-0.01,0.99885017
2000,250,-6.599999999999999e-05,20,0.0001,-0.01,0.99691147
500,250,-0.0006600000000000001,5,0.01,-0.01,0.00028057396
1000,250,-0.0006600000000000001,5,0.01,-0.01,0.00025117397
1500,250,-0.0006600000000000001,5,0.01,-0.01,0.00015968084
2000,250,-0.0006600000000000001,5,0.01,-0.01,0.00027164817
500,250,-0.0006600000000000001,5,0.001,-0.01,0.75488365
1000,250,-0.0006600000000000001,5,0.001,-0.01,0.16385858
1500,250,-0.0006600000000000001,5,0.001,-0.01,0.0002875328
2000,250,-0.0006600000000000001,5,0.001,-0.01,0.00029696524
500,250,-0.0006600000000000001,5,0.0001,-0.01,0.99763465
1000,250,-0.0006600000000000001,5,0.0001,-0.01,0.9878842
1500,250,-0.0006600000000000001,5,0.0001,-0.01,0.97038066
2000,250,-0.0006600000000000001,5,0.0001,-0.01,0.94751805
500,250,-0.0006600000000000001,10,0.01,-0.01,0.0002797842
1000,250,-0.0006600000000000001,10,0.01,-0.01,0.00026383996
1500,250,-0.0006600000000000001,10,0.01,-0.01,0.00022751093
2000,250,-0.0006600000000000001,10,0.01,-0.01,0.0008701086
500,250,-0.0006600000000000001,10,0.001,-0.01,0.33866054
1000,250,-0.0006600000000000001,10,0.001,-0.01,0.00029712915
1500,250,-0.0006600000000000001,10,0.001,-0.01,0.00028976053
2000,250,-0.0006600000000000001,10,0.001,-0.01,0.00029969215
500,250,-0.0006600000000000001,10,0.0001,-0.01,0.9905965
1000,250,-0.0006600000000000001,10,0.0001,-0.01,0.9547006
1500,250,-0.0006600000000000001,10,0.0001,-0.01,0.89394665
2000,250,-0.0006600000000000001,10,0.0001,-0.01,0.81378704
500,250,-0.0006600000000000001,15,0.01,-0.01,0.0002655387
1000,250,-0.0006600000000000001,15,0.01,-0.01,0.00020742416
1500,250,-0.0006600000000000001,15,0.01,-0.01,0.00022661686
