time,steps,chi,alpha,qubit_amp,detuning,err
500,250,-6.599999999999999e-05,15,0.01,-0.01,0.527511477470398
1000,250,-6.599999999999999e-05,15,0.01,-0.01,0.03468215465545654
1500,250,-6.599999999999999e-05,15,0.01,-0.01,0.0006682886742055416
2000,250,-6.599999999999999e-05,15,0.01,-0.01,0.0002480149269104004
500,250,-6.599999999999999e-05,15,0.001,-0.01,0.9750487804412842
1000,250,-6.599999999999999e-05,15,0.001,-0.01,0.8783730864524841
1500,250,-6.599999999999999e-05,15,0.001,-0.01,0.7277503609657288
2000,250,-6.599999999999999e-05,15,0.001,-0.01,0.5462904572486877
500,250,-6.599999999999999e-05,15,0.0001,-0.01,0.9999983310699463
1000,250,-6.599999999999999e-05,15,0.0001,-0.01,0.9999920725822449
1500,250,-6.599999999999999e-05,15,0.0001,-0.01,0.9993781447410583
2000,250,-6.599999999999999e-05,15,0.0001,-0.01,0.9983540773391724
500,250,-6.599999999999999e-05,20,0.01,-0.01,0.27247336506843567
1000,250,-6.599999999999999e-05,20,0.01,-0.01,9.47713851928711e-06
1500,250,-6.599999999999999e-05,20,0.01,-0.01,9.563565254211426e-05
2000,250,-6.599999999999999e-05,20,0.01,-0.01,2.9385089874267578e-05
500,250,-6.599999999999999e-05,20,0.001,-0.01,0.9576922059059143
1000,250,-6.599999999999999e-05,20,0.001,-0.01,0.7912283539772034
1500,250,-6.599999999999999e-05,20,0.001,-0.01,0.5549789667129517
2000,250,-6.599999999999999e-05,20,0.001,-0.01,0.31114891171455383
500,250,-6.599999999999999e-05,20,0.0001,-0.01,0.999997079372406
1000,250,-6.599999999999999e-05,20,0.0001,-0.01,0.9997590184211731
1500,250,-6.599999999999999e-05,20,0.0001,-0.01,0.9988538026809692
2000,250,-6.599999999999999e-05,20,0.0001,-0.01,0.9969570636749268
500,250,-6.599999999999999e-05,25,0.01,-0.01,0.09373173117637634
1000,250,-6.599999999999999e-05,25,0.01,-0.01,1.1103664292022586e-05
1500,250,-6.599999999999999e-05,25,0.01,-0.01,9.834766387939453e-06
2000,250,-6.599999999999999e-05,25,0.01,-0.01,1.9669532775878906e-05
500,250,-6.599999999999999e-05,25,0.001,-0.01,0.9328548312187195
1000,250,-6.599999999999999e-05,25,0.001,-0.01,0.703252375125885
1500,250,-6.599999999999999e-05,25,0.001,-0.01,0.3757045269012451
2000,250,-6.599999999999999e-05,25,0.001,-0.01,0.11091583967208862
500,250,-6.599999999999999e-05,25,0.0001,-0.01,0.9999954700469971
1000,250,-6.599999999999999e-05,25,0.0001,-0.01,0.999585747718811
1500,250,-6.599999999999999e-05,25,0.0001,-0.01,0.9981341361999512
2000,250,-6.599999999999999e-05,25,0.0001,-0.01,0.995086133480072
500,250,-6.599999999999999e-05,30,0.01,-0.01,0.0190126895904541
1000,250,-6.599999999999999e-05,30,0.01,-0.01,4.112720489501953e-05
1500,250,-6.599999999999999e-05,30,0.01,-0.01,1.1920928955078125e-05
