truncation,levels,exact fidelity,bo_fidelity,qutip fidelity,betas_r,betas_i,gammas_r,gammas_i,phis,thetas
,,,,,,,,,,
2.0,2.0,0.4502409328506388,0.99990517,0.20086119464486885,"[1.0102258, 2.2868605]","[1.3889776, -1.4159787]","[-0.00715268, 0.044917516]","[0.67155796, 2.4562979]","[0.0, -2.4804306]","[-0.003947735, -0.0065715313]"
2.0,4.0,0.5817451938373388,0.9984696,0.34141705180434173,"[-0.31009245, 2.419283, -0.05856901, 0.6432908]","[0.20300822, -0.54748774, -0.15131505, -0.38355398]","[2.1047585, 3.3285022, -0.7563763, 1.0108573]","[1.9124396, -0.34505397, 1.0639067, 1.5134602]","[0.0, 1.9725811, -0.51142645, -2.29686]","[-3.1293118, -2.9805396, 1.4199126, 1.306607]"
2.0,6.0,0.298835779922075,0.99770176,0.09340432647873359,"[0.19465461, -0.16490455, 0.25850418, 0.53592074, -1.9252479, 0.4475959]","[-0.27733976, 2.3692641, -0.34472942, -2.904897, 0.4074674, 0.16590106]","[0.89012414, 2.3525536, -1.023104, 0.830776, -1.6801463, 0.36410496]","[1.8185401, -2.191249, 0.24338038, 1.895769, 0.6279572, -1.3862138]","[0.0, 0.16305661, 1.4834921, -1.8217808, -2.7514112, -0.11678815]","[-0.8435867, -1.7958561, -0.36112165, -0.31126618, -1.517399, -2.3239076]"
2.0,8.0,0.10141144703404266,0.9999342,0.01211976268920192,"[1.1157811, -1.7663788, -0.61095774, -0.53057784, -0.24859531, 2.1021304, 2.1602345, -1.866915]","[-1.2921664, 0.8853085, 0.92280036, -0.31567177, 0.48143837, 1.5577874, 0.54087466, 0.9180445]","[0.83930856, 1.2247221, 0.2737824, -0.29197222, 0.6724429, 0.45615682, 1.0465735, 0.7139392]","[-1.3030325, -2.135097, -0.3123475, 0.17628336, -0.5987965, 0.6410216, -1.7981366, -0.21420677]","[0.0, 2.0775592, -2.3401077, 1.1949193, 1.5345032, 2.3165252, -2.3172436, -2.857857]","[0.91741204, 2.6013148, -2.6596978, -0.93680215, 1.8188221, -0.20229125, 0.6916568, 0.71507645]"
2.0,10.0,0.07568313803376153,0.9986625,0.001954458453253437,"[-1.4810942, 0.025052754, -0.6282462, 0.24795423, 0.3217138, -0.13348348, 0.6418991, 1.3423362, 1.774037, -2.2042716]","[0.49863532, -0.5583259, 2.1635866, -0.557896, -0.6772438, -0.77048576, -0.22786328, -1.996722, 1.188466, 0.26955095]","[-0.5898931, 1.0431235, 2.131552, 0.07389648, 1.9828203, -0.5389219, -0.2513451, -1.5870908, -2.742071, 0.77045727]","[-0.0317617, -0.7956488, 0.17749031, 0.73389393, -1.6212578, -0.2997996, 0.11450849, 1.0837781, 0.13768092, -0.052044317]","[0.0, -1.9601148, 0.91906, -0.46671796, 2.8259394, 0.22786498, 1.944978, 0.54615116, -1.8660089, -2.477173]","[-1.251056, 2.206797, 2.3142264, 3.0621655, 0.44355583, 2.4446523, 2.5337522, -1.3016046, -0.59386516, 1.9837391]"
2.0,12.0,0.43531288560943204,0.99770033,0.22870932599359983,"[-0.28392476, -0.28800133, 0.59818995, 1.5126908, -1.4801092, -2.014846, 2.0634778, 1.2406745, -0.86073214, 0.028859165, 0.92343605, 0.84891415]","[-0.4136304, 2.0632188, 0.111344986, 2.1955342, 0.12714632, 0.21469854, -0.8243512, -0.4630582, -1.4302579, -0.08250029, 1.951225, 1.9548595]","[-0.22921398, -1.1498911, 1.0643588, -0.24905935, 0.5832472, -1.132493, 0.3144437, 0.48959696, -0.15008551, -2.0716667, -0.21899776, 0.65572214]","[1.3200058, 0.9592539, 1.7666098, 0.6676343, -0.9919886, -0.58090997, 0.94396, -2.6199312, -0.046596333, 0.43696025, 1.1763332, 0.6641374]","[0.0, -0.47548652, 2.7850091, 2.6860688, 0.36251307, 2.1904347, -1.1854053, -0.22077966, -2.8879533, -1.0178473, -3.1201472, 0.66447973]","[-1.5280124, 1.910856, 1.1469662, 1.9266083, -3.0274167, -1.1348369, -1.8726674, -1.1662464, -0.3451221, 0.51001763, -1.5842928, -1.3941854]"
4.0,2.0,0.03495549139141768,0.72279716,0.0011368315316321082,"[2.4995527, -1.3134431]","[0.9404998, -3.1822972]","[0.9149298, 1.6947861]","[0.7675143, -2.8932536]","[0.0, -2.052304]","[0.0, 0.0]"
4.0,4.0,0.0280433649423238,0.99950135,0.0007906623953291473,"[-1.1682501, -0.102469765, 2.2353113, 0.6078375]","[-2.2562368, 1.4023595, 0.5309682, 2.8881671]","[-2.0905974, 0.41228023, 1.658065, 2.4694502]","[-0.09756439, 1.0806984, -0.596302, -1.7780138]","[0.0, 0.9827416, -3.0407565, -2.5182433]","[-0.0015821457, 0.0028595924, 3.1385682, 3.1407864]"
4.0,6.0,0.006985646996014513,0.9995321,9.317632942686463e-05,"[0.008700116, 0.021178978, 1.4456499, 3.0526383, -1.8529897, -0.53431255]","[0.060689803, -0.07783337, -2.9948955, -0.79356253, 0.042528316, -0.8874851]","[0.9672526, -0.37458166, -0.5991582, 0.11098729, -2.6854975, 0.2883201]","[1.502785, 1.9250152, -0.55994284, 0.31943467, -0.8985129, -1.4370366]","[0.0, 2.8475993, -2.761964, -2.2330387, 1.6304743, -0.9313669]","[-0.10720229, 0.064968586, 3.0623848, 0.030381203, 3.1355894, 0.06765866]"
4.0,8.0,0.09753037460153482,0.9964061,0.009128852154785217,"[1.8333646, -1.3325919, -0.12456889, -0.35712144, -2.6379151, -0.17468694, 1.1310953, 0.36132514]","[0.52789617, -0.01597653, 0.038560662, 0.05694316, -0.9136694, -1.9653081, 1.6313173, -0.36508143]","[-1.2991356, 1.3526301, -2.1260626, -0.036859885, 2.662411, -1.6685989, 0.46972746, 0.3197435]","[0.33174312, -1.3123643, -0.919807, 0.36383164, 0.067804955, 1.5013828, 0.6659237, 1.3608966]","[0.0, 0.89922595, -1.1512631, -2.1890292, -2.75304, 0.7662189, 2.4845707, 0.06745601]","[0.068226576, 0.335474, -2.9055245, -2.9745224, -0.49360132, 2.981394, 3.0561197, 0.6307609]"
