truncation,levels,exact fidelity,bo_fidelity,qutip fidelity,betas_r,betas_i,gammas_r,gammas_i,phis,thetas
,,,,,,,,,,
14.0,2.0,0.13533528323641417,0.13533586,0.018227764870736792,"[0.3136615, 1.6255456]","[0.99948734, -0.5101353]","[-0.15801813, -1.7416658]","[0.9234785, -0.29802075]","[0.0, 1.128588]","[2.0954154, 2.0954168]"
14.0,4.0,0.54134113294417,0.5413458,0.2919726045105081,"[-2.2445933e-07, -0.11065535, -0.8064663, 5.3800204e-06]","[8.991109e-09, -1.8261919, 0.04886689, -7.7234193e-07]","[-0.5702869, 1.2959806, -4.628459e-08, -7.9578354e-07]","[-0.57231754, -1.2913799, -1.7525036e-08, -7.240882e-07]","[0.0, -1.5707967, -1.5708063, -1.001358e-05]","[1.5707963, -1.5707964, 1.5707967, -1.5707963]"
14.0,6.0,0.9631447019894859,0.96315646,0.9262733280284103,"[1.447171e-08, 1.1688763e-06, 0.5041123, -0.9592122, -0.21050431, -7.657662e-05]","[-7.245757e-08, 9.2185553e-07, -1.4832495, -0.32600093, 0.6193683, 3.5800025e-05]","[0.5765243, -0.4787434, 1.3806213, 6.571885e-08, -9.027709e-08, 6.954765e-06]","[0.30913293, 0.8928372, 0.7402933, -2.6465031e-08, -3.5203277e-07, 6.363391e-06]","[0.0, 1.5707543, 1.570823, -1.570734, 1.5702317, -3.1413424]","[1.5708025, 1.5707939, -1.5707943, 1.5707953, -1.5708017, 1.5713513]"
14.0,8.0,0.9960482630263982,0.9960633,0.9826602061755048,"[0.044368498, 0.030629903, 0.016559076, 0.32372355, -0.7584027, -0.34520662, 0.34602955, 0.0003995905]","[0.0041164346, -0.027583325, -0.023514403, 1.2591631, -0.097437985, 0.59755236, 0.36135983, 0.0014044743]","[1.0311936, 0.69879633, 0.8871612, -1.1603625, -0.029014317, 0.03185576, 0.009300873, -0.0019266391]","[0.648566, 0.10890686, -0.79715616, -1.0857698, 0.01603225, 0.024412705, -0.020167608, 0.0010449073]","[0.0, -1.5683434, 1.5688398, 1.5671403, -1.5677085, -1.5745554, 1.5701096, -0.00018167496]","[-1.5681701, 2.5205443, -1.9915385, 1.6179998, 1.8878005, -0.9811506, 1.213764, 1.5724962]"
14.0,10.0,0.9958701604752855,0.99588686,0.9784644296556851,"[-0.026131328, 1.6148115, -1.1412703, -0.44534186, 0.012166738, -0.7699009, -0.7152044, 0.5653217, -0.74412334, 0.0070590833]","[0.015305858, 2.01467, -0.9035363, -1.1105236, 0.0015026142, -1.2908576, 0.5351309, -0.68118626, -0.0408255, 0.0033348368]","[-0.47158355, 0.0040443125, -0.82880133, 0.89709675, -0.7023424, -0.79158646, 0.0033930787, -0.0007762232, -6.317926e-05, 0.0022544784]","[0.118917204, 0.15388007, 0.537056, 0.031318773, -0.31598154, 1.004804, -0.0028624188, -0.003580453, 0.0072529805, -0.0112236785]","[0.0, 1.5619624, -1.570856, 1.6350391, 1.5639727, 1.5723736, 1.5615914, -1.5670986, 1.5551875, -0.002826929]","[1.5663412, -1.1791786, -0.023305178, -0.036046267, 1.9528658, -1.1272099, -0.9968109, -1.4515892, -0.5858815, -1.5642889]"
14.0,12.0,0.9942011732833546,0.99521416,0.981565618080606,"[-0.38215876, 0.060046684, 0.028503792, 0.040923584, -0.033313923, -0.43496206, 1.1702707, -0.95450485, 1.5107352, 0.5566098, 0.15420824, -0.22952943]","[0.006799932, -0.012474852, 0.11522238, 0.096202895, -0.030656854, -1.5076728, -0.25401652, 1.4230607, -0.9865727, 1.075189, -0.7058284, -0.7247832]","[-1.4104838, 0.5881465, 1.8218865, 0.60808146, 1.0483603, -1.7471101, -0.05207164, -0.7742951, 0.7625671, 0.019637961, 1.0674757, -0.26780146]","[0.21462373, -0.08620362, 1.8150835, -0.5344247, 1.4353126, 0.10035495, -0.018569192, 0.9571525, -0.98788667, -0.05995217, -0.050798677, 0.19893397]","[0.0, -0.2858944, -1.8593037, 1.2260091, 1.6249135, -0.5410149, 0.27533245, 0.45755625, -1.2509409, -2.7955406, 1.5781829, 2.7080228]","[-2.998008, -1.4495401, -1.5253261, 2.9135768, -0.24991155, 1.4224966, -1.629109, 2.0185487, 0.022515774, -2.5155802, 1.5921004, -3.1232746]"
16.0,2.0,0.1353352832360867,0.13533536,0.018310355023942484,"[0.078517884, 1.0540242]","[-0.51907593, -1.1293641]","[-1.3749816, -0.23212689]","[-2.1350217, 0.9445548]","[0.0, 0.91694427]","[0.0, 0.0]"
16.0,4.0,0.5413411329448148,0.5413399,0.2914291984214203,"[-4.7695334e-08, -1.7963037, 0.15330969, 6.082609e-07]","[-2.4044066e-08, -0.3471585, -0.79326683, -2.569246e-06]","[0.40121067, -1.588025, -2.614157e-07, -1.169196e-06]","[-0.7012883, -0.9085175, 5.00686e-07, 2.1671863e-06]","[0.0, 1.5707958, -1.5708015, 3.1415875]","[-1.5707958, 1.5707967, 1.5707967, -1.5707964]"
16.0,6.0,0.9631412979922164,0.96313727,0.9255848277946891,"[2.9860385e-05, 0.00012747843, -0.4853443, -0.96352535, -0.20208281, 3.9883363e-07]","[-1.6051818e-05, 0.00024525696, -1.4894549, 0.3129658, -0.62213486, -5.1722877e-06]","[0.55566514, 0.5348266, 1.3290415, 0.000653014, 2.7301643e-05, 6.6153825e-07]","[0.3453777, -0.8604023, 0.82935613, 0.00034563203, -9.1604685e-05, -1.2535879e-06]","[0.0, 1.5707905, -1.5707918, -1.570802, 1.5707953, 3.1415894]","[-1.5707966, 1.571626, 1.5701754, -1.5709803, -1.5704368, -1.5707994]"
