layers,exact fidelity,bo_fidelity,betas_r,betas_i,gammas_r,gammas_i,phis,thetas
,,,,,,,,
3.0,0.1773172628515473,0.17224725,"[-1.977675, -0.3416148, 1.4696213e-05]","[1.1266631, -0.59964925, 2.7270415e-05]","[-1.9776757, -0.34161505, 9.66732e-06]","[1.1266623, -0.59965134, 1.0606956e-05]","[0.0, 1.5708702, -3.1415155]","[-1.5707961, -1.5707972, -1.5707957]"
3.0,0.17731725809493656,0.17224723,"[0.6811013, -0.36697286, 4.5336816e-05]","[0.11126902, 2.2463086, 5.879034e-06]","[0.6811012, -0.36697444, 2.6728212e-05]","[0.11127017, 2.246308, 4.181603e-06]","[0.0, -1.570791, 0.000113487244]","[-1.570797, 1.5707963, 1.5707963]"
3.0,0.17731725392478453,0.17224725,"[0.5148517, -1.5156919, 2.9570845e-06]","[0.45956966, 1.6980146, 2.447519e-06]","[0.5148528, -1.5156906, 8.5093427e-07]","[0.45957097, 1.6980147, 7.4975276e-07]","[0.0, 1.5707972, -3.1415827]","[1.5707972, 1.5707963, 1.5707963]"
3.0,0.177317258943834,0.17224723,"[-0.33490127, -0.6826186, 0.0005093829]","[2.2513132, -0.10154408, 3.7679027e-05]","[-0.33490404, -0.6826168, 0.0002972887]","[2.2513134, -0.101545416, 1.5434758e-05]","[0.0, -1.5695901, 0.0012090206]","[1.5707967, -1.5707966, -1.5707954]"
3.0,0.1773172537102931,0.17224725,"[-1.1187197, 0.60101515, -7.818892e-05]","[1.9821799, 0.3392063, -4.7636637e-05]","[-1.1187184, 0.60101604, -4.0410636e-05]","[1.9821807, 0.33920562, -3.453219e-05]","[0.0, 1.5705798, -0.00021982193]","[1.5707963, -1.5707965, -1.5707967]"
5.0,0.5232852262152664,0.52171147,"[0.04728693, 0.7301206, -1.7497135, 0.4126528, -1.1885628e-06]","[0.0338736, -0.9393838, -1.360222, -0.5306667, 3.9786465e-07]","[0.53070366, 1.3603148, -0.93931115, 0.035712644, -4.367724e-08]","[0.41260543, -1.7496417, -0.73021775, -0.045903504, -1.7316864e-08]","[0.0, -1.5707967, 1.5708001, -1.5707953, 1.66893e-06]","[-1.5707966, -1.5708283, -1.5706748, 1.5707982, 1.5707963]"
5.0,0.5232856620216948,0.521712,"[-0.05814765, 0.034897704, 2.215283, 0.019753654, 1.5432879e-07]","[0.0011856217, 1.1892477, -0.06505686, 0.6719412, -3.04379e-07]","[-0.6719414, 0.06508556, 1.1892469, 0.0017598104, -4.7463044e-07]","[0.019739097, 2.215282, -0.034926698, 0.058132596, -7.97538e-07]","[0.0, 1.5707963, 1.5707967, -1.5707941, 1.9073486e-06]","[1.5707958, -1.5707887, 1.5708268, -1.5707963, -1.5707965]"
5.0,0.45588899426751245,0.44753164,"[1.2654382, -0.39946595, -0.7081681, 0.6038302, -2.851723e-06]","[-0.62173957, -0.5151018, -1.5915172, -0.29487714, -1.0531263e-06]","[0.25244534, -0.6454081, -0.8126319, 0.2829705, -2.2792692e-07]","[-0.35183123, 0.25076616, -2.1216567, -0.11423103, -1.7551304e-07]","[0.0, -1.5707933, -1.5707922, -1.5707879, 1.001358e-05]","[-1.5707971, -1.6428452, 1.3418481, 1.5817764, 1.5707963]"
5.0,0.45588897737916034,0.4475317,"[-0.16302554, -1.9419736, 0.3622211, 0.39133027, 2.1991797e-05]","[0.25795674, -1.1792097, -0.59011066, -0.18540712, -3.3052987e-05]","[-0.39817923, -1.4390864, -0.43529716, 0.83817035, 3.0894953e-06]","[0.54130995, -0.9815555, -0.48520043, -1.1337414, -8.410437e-06]","[0.0, -1.5708015, 1.5706985, -1.5708988, 3.1414907]","[-1.5707945, 1.5817769, -1.341847, 1.4987471, -1.5707942]"
