layers,exact fidelity,bo_fidelity,betas_r,betas_i,gammas_r,gammas_i,phis,thetas
,,,,,,,,
11.0,0.9504326390621802,0.9504277,"[0.13488929, -0.2279579, 1.1900711, 0.43509567, 0.07834747, -1.2962185, 0.6700627, 1.0778513, -0.52539045, -1.0558612, 0.80371964]","[-0.10712488, 0.13559133, -0.6507451, -0.58729273, -1.3035743, 0.47883767, 0.024596877, 1.7239522, 0.31243286, 0.62393165, -0.4849265]","[-0.36237377, 0.23904443, 1.3408138, 1.0947008, 0.6953896, -1.2715569, 0.5128408, 0.64532465, -0.20467873, -0.37019914, 0.26906654]","[0.06904714, 0.6659791, -0.5523455, -0.571282, -1.1858402, 0.49466214, 0.07803022, 1.3312427, 0.10610639, 0.21247368, -0.15646668]","[0.0, -1.5908473, 1.6203401, -1.4826386, 1.6643188, -1.4445945, 1.702771, -1.446788, 0.9521344, 2.5294201, 2.5352824]","[-1.6425663, -1.1996397, 1.4210985, -1.4897145, -2.725054, 1.6736677, 0.81589174, 1.9000037, -1.5647014, -1.934491, -0.5046346]"
11.0,0.9545516560175538,0.9545499,"[0.17285644, -0.78989404, 1.00309, -0.5262413, -0.81390005, -0.26184317, 0.45674136, -0.1119051, 0.59169614, -0.06782475, 0.00014118858]","[0.3270558, 0.25732112, -0.19401479, 1.3082457, 0.46495196, -0.90590364, 0.06629586, 0.45722115, 0.007687462, 0.44165254, -8.311629e-05]","[0.16590686, -0.5419412, 1.4737059, -1.1924573, -0.4433601, 0.04193578, 0.855059, -0.11792684, 0.90736806, -0.17018832, 0.000109987086]","[0.45779866, 0.17935115, 0.23337753, 0.24150982, 0.14630845, -0.88883, 0.124402165, 1.1329609, 0.11975641, 0.3159937, -5.8732403e-05]","[0.0, -1.571004, -1.5705906, -1.5708115, 1.5705869, -1.5706704, 1.5709503, 1.5705879, -1.5705913, -1.5709963, -3.1414244]","[-1.5709168, 1.2717078, -1.738396, -0.3062799, -1.6225954, 1.8065999, -1.7276869, -1.5440208, -1.6143001, 1.4174569, -1.570651]"
13.0,0.9566823180190659,0.95765495,"[-1.4959601, 0.12065852, 0.40640476, 0.71717006, -0.8920169, -0.013851222, 0.18376848, -0.16277981, -0.8767581, -0.3146445, 1.3085406, 0.3378538, 1.4996611]","[2.0538573, -0.066538274, 0.1521077, -1.3026952, 0.16527122, 0.012398459, -0.3517451, 0.7924053, 0.29721972, -0.37452564, 0.6214693, -0.52754295, -2.0416362]","[0.7590362, 0.39382485, 0.72901905, 0.6690943, -1.1364768, -0.00015709527, 0.5681607, -0.32237053, -1.1727592, -0.41798875, 0.73677, 0.13749117, -0.75765043]","[-1.9477248, -0.23904711, 0.39981893, -1.1312978, 0.31280082, -0.0013860106, -0.29634526, 1.1321173, 0.2437516, -0.2264135, 0.21008968, -0.15483315, 1.950977]","[0.0, -1.0908506, -3.0995948, -0.6191318, 1.5921538, 2.4437182, -2.9688895, -0.22180557, 0.39748335, 1.1453846, 0.923445, -0.21623015, -2.035869]","[-0.0011246204, -1.5681852, 1.6403506, 2.0651581, 1.619518, -2.3108118, -2.5591383, -0.9603276, 1.334533, 2.0489023, 1.7063291, -1.487864, -1.5622904]"
13.0,0.981796703728423,0.9818023,"[-0.55120164, -0.26413783, 0.5694336, -0.3908471, 0.19483173, 0.60238254, -1.6189921, 0.17649402, -0.13602854, 1.33955, 0.05693637, -0.4683323, -0.4495479]","[0.11368107, 0.03817838, 0.94696426, -0.64943725, -1.1268597, -1.0969235, 0.43806967, 0.60456187, 1.1304157, 0.19310562, 0.7191001, -0.055815265, 0.091611005]","[-0.8165003, -0.41371986, 0.8166411, -0.14267485, 0.48922455, 0.1341133, -0.95092696, 0.17499182, -0.116483636, 1.2337825, -0.0729536, -0.16659729, -0.6361826]","[0.5218695, 0.21521403, 1.2906123, -1.0564995, -1.5271571, -1.0866501, 0.49071386, 0.37951472, 1.0951036, 0.14923806, 0.3243834, -0.012771283, 0.429735]","[0.0, 0.21140075, -1.2504648, 2.8021662, 0.73424506, 2.0155642, -0.035241842, -0.014416695, -0.5805695, -1.7074307, -2.5228188, 0.15503502, -1.2433139]","[2.808502, -1.8815978, 1.4713604, 0.7745781, -2.5703194, 1.6299503, -0.4190004, 1.0027602, -2.1823308, -2.3117476, -1.7775881, 1.5300577, -1.5485743]"
15.0,0.9859249915921322,0.98594725,"[-0.18695492, 0.17229891, -0.17504913, -0.6303645, -0.5566621, 0.41974807, -0.71220714, -0.23583208, -1.6367723, -0.35198686, -0.82742643, 1.4879875, -2.1473749, 0.030158065, -0.00053713925]","[-0.070156455, 0.13179556, -1.217374, 0.31533748, -0.4720647, -0.9679818, 0.35065946, -0.0052018864, -0.60255224, 0.5922111, -0.117887, -0.10184475, -0.7929605, -1.2484105, 0.00023102738]","[-0.34952122, 0.6596686, 0.13092962, -0.60391504, -0.55915534, 0.5529204, 0.49922436, 0.85713404, -1.3523883, -0.16917838, -0.8165887, 0.91165936, 1.29315, 2.8004591, 1.6598793e-05]","[0.20513599, 0.3609476, -1.2222039, 0.31950614, -0.47295022, -0.8254135, 0.11294754, -0.057739753, -0.6356915, 0.5482954, 0.2996606, -0.18328795, 1.3968548, 0.69714177, 0.00025654436]","[0.0, 1.571028, -1.5699112, -1.5698866, -1.5689725, -1.5691589, 1.5727079, -0.42064452, 0.73003316, 0.72721744, 0.72688127, 0.72837377, 0.72493315, 1.5575678, 0.8155763]","[1.5700514, -1.4775774, 2.0863497, -2.3104353, 1.1190073, 1.36496, -0.8601334, -3.1383793, 0.74052143, 0.77424335, -1.6977845, 2.6436408, -0.08600259, -3.1333935, 1.5705292]"
15.0,0.9909327706740418,0.99095595,"[-0.39078707, 0.18847182, 0.29060218, 1.3995662, 0.28143215, -0.9139832, -0.15282635, 0.6068323, -1.1062424, -0.59665895, 0.38730496, 0.438041, 0.39779976, 1.5733569, -1.7890083]","[-0.057829283, 0.023464171, 0.2994163, -0.6007731, 0.55423665, 0.36221802, -0.69538504, -0.22505353, -0.64970034, 1.6238017, -0.89717275, -1.276523, 0.041575495, -0.67524314, 0.6268908]","[-0.6865383, 0.30181718, 0.45632124, 1.4483935, 0.21705486, -0.90700406, -0.069483496, 0.530591, -1.0756575, 0.81126785, -0.87324715, 0.2838089, 0.38805765, 1.4632916, -1.8406473]","[0.058809236, -0.025054052, 0.61380696, -0.51936823, 0.53164876, 0.33892518, -0.5736423, -0.24613287, -0.57788366, 1.3590333, -0.7584052, -1.0876536, 0.018618125, -0.25193682, 0.2637348]","[0.0, -0.1189425, 1.4212506, -0.037353754, 0.31585383, -0.023397446, -0.24594569, -3.0722811, -2.8843167, -2.5152028, 2.6241438, -2.9122918, 0.86921906, 2.4584477, -2.1276124]","[2.507467, 1.0317829, -1.5424844, 2.2423637, 2.1906226, 1.8153293, 1.4567382, -1.3925569, 1.6319449, 1.1316311, 0.014262915, 0.5066564, -0.9831698, -1.6047333, 0.076040745]"
17.0,0.9684063331325632,0.9703598,"[-1.261571, 0.5790969, 0.80223453, -0.29630548, -0.951023, 0.22514789, -0.5981354, 0.07309549, -0.38009122, 0.56471735, 0.45872965, -1.681773, -0.42960998, 0.375717, -1.327045, -0.11617449, 1.26542]","[-0.8183748, -0.9400312, -0.9215564, 0.06377138, -0.48404336, 0.33182913, -0.24247998, 0.45560345, -1.3387886, -0.038844574, -1.4525777, 1.6988165, -0.57798237, -0.3994556, -0.02605148, -0.47161156, 0.81066346]","[-0.4423089, 0.4796788, 0.8411447, 0.013118093, -1.7712222, 0.5292728, -0.4949744, -0.9870936, -1.2815789, 0.54667366, -0.4498841, -0.99749994, -0.48446, 0.4572918, -1.0176331, -0.021076623, 0.449143]","[-1.3772258, -1.0527383, -1.2460705, 2.2957022, -2.4011784, 0.3573991, 0.21235588, -2.3815982, -4.167495, 0.30671713, -0.055406656, 0.22362715, -0.52604985, -0.5471781, -0.11991512, -0.24940698, 1.3721211]","[0.0, -2.3265374, 2.7020667, -0.8680494, 3.0334218, 2.002127, -1.4862003, -0.5491729, 0.663543, -0.425061, -1.5500375, -0.03468609, 1.8247879, -1.2668016, -2.9594734, -0.5718634, 0.41716456]","[-0.022977114, 1.5625865, -2.8954318, -1.2832097, -0.01711154, 0.48463583, 2.677747, -0.71354675, -3.1307595, -1.4519244, -1.0678947, -0.09666586, 1.8585227, -1.4311248, 2.0522482, 1.4768741, 1.5765088]"
17.0,0.9674383608517849,0.96637446,"[-0.84624076, 0.29551956, -0.75942636, 1.1796079, -0.34794763, -1.2273451, -0.28767377, 0.030004993, -0.80637825, -0.5515248, -0.78391105, 0.72845215, -1.3036247, -1.1709322, -0.21274129, 0.029891962, 0.8787659]","[-1.6586634, 0.8594143, -0.7507899, 0.8756961, -1.334404, 0.4129366, -0.0020518333, -0.43527913, 1.5519567, -0.36988825, 0.5949571, -0.13452473, 0.26973206, -0.8002584, 0.44874412, -1.3949604, 0.2613606]","[0.84059894, 0.7466078, -0.7993753, 1.3652034, -0.3398569, -2.1325533, -0.3128154, -0.30092603, -0.8677822, -0.59783757, -0.6975308, 0.8084763, -1.8421538, -0.8529882, -0.0022309092, -2.2961226, -3.1343398]","[-1.3777792, 1.3321187, -1.1105727, 0.83760595, -1.4068124, 0.08244428, 0.48185864, -0.9561074, 1.485107, -0.16677417, 0.48619676, 0.0133545725, -0.39580804, -0.46641248, 0.1724083, 0.04241452, 1.4078257]","[0.0, 0.5394285, -2.9409158, -0.28232503, 2.2056077, -2.9847715, 2.2522128, 2.7536614, -2.7266924, -0.11722016, -1.6965598, 0.6610024, -1.7808864, 0.3359928, -3.117634, -0.95795274, -2.3064203]","[-0.00906992, -1.5698419, 0.78630114, -0.76380205, 0.798491, 0.49636698, -2.2266138, 0.8089659, 1.1689432, -1.41197, -1.5625626, 0.57019305, 1.2981532, -1.0642908, -1.6355156, -1.5664561, -3.134656]"
19.0,0.8027814280845373,0.92477113,"[-0.041785516, -1.2308215, -0.18990034, 0.35724774, 0.7634089, 0.69731265, 0.3297302, -0.47938463, 0.35931206, 0.518989, 3.281217, 1.7389576, 0.1372651, 0.44164136, -0.32733673, -0.768964, -0.18101558, -0.6017964, 0.040427547]","[-0.12104536, 0.6925767, -0.589619, -5.4890113, -0.18813542, -0.22440837, -0.8914326, 5.479285, -2.4241905, -1.7012559, 0.6346146, -0.021728182, -0.5604384, -2.0125935, -1.8687134, 1.0574999, 2.484285, 0.19621384, 0.008943564]","[-0.17973909, -1.7396103, 0.21676445, -0.031381603, -3.150478, 2.4520245, -0.6368004, -0.6678225, -2.959824, 0.30306688, -2.5824883, -0.55788064, -0.18281257, 0.04638308, -0.79386723, -1.4420571, -0.91243464, -0.208022, -0.009700173]","[-0.6266825, 0.9689894, -0.75531393, -0.06716279, -2.3665228, -0.060492206, -1.5896202, -1.4662551, -0.013742007, -0.6881327, 0.010752651, 1.7965468, -0.4627706, -1.5391617, -1.2422907, 0.4442113, 1.5967349, 0.18329795, 0.008384899]","[0.0, 1.5752137, -1.5517662, -1.5556042, 2.6668103, 1.3005874, 0.49183464, -0.4677632, -2.7260973, 1.1674249, -1.8347702, 1.221, -1.0781147, -1.0980654, -1.14243, -1.1766009, -1.1031573, 2.149687, 0.590534]","[-1.5484432, 1.507437, 1.7432683, 0.8913791, -3.1082451, 3.1402848, -3.1402276, -3.1157844, -0.1850512, 3.139376, -3.1353142, -3.1315176, 1.0131161, 1.1473081, 2.8310006, 1.7693174, 2.8306372, 1.4284961, -1.5643649]"
