exact fidelity,bo_fidelity,betas,gammas,phis,thetas
,,,,,
0.9959843530091624,0.99599576,"[ 1.5592822e-01+4.9970382e-01j  5.0635672e-01-2.6870561e-01j
  4.0821396e-02+1.9000633e-01j -5.5799270e-01+1.2863474e+00j
 -4.3620726e-01+1.6131941e+00j -2.2475498e+00+3.8673115e-01j
  6.6589433e-01+2.1753651e-01j  5.2293700e-01+1.1229711e+00j
 -5.5180299e-01+1.5202069e-01j  4.3811793e-05-4.7665610e-04j]","[-0.13637811-0.22670896j -0.8271662 +0.6542842j   0.16898212-0.5168651j
  0.37595248+1.2422185j  -0.0150291 +0.0365588j  -1.0498924 +0.58718866j
 -0.04918752-0.00812999j -0.0287764 -0.05988788j  0.06211048-0.02768753j
 -0.00151634+0.0016487j ]","[ 0.          1.5745428  -1.5677989   1.5731761   2.3742855   0.03656721
  0.02651501 -3.1117852  -3.1127965   1.6055596 ]","[ 1.5675552  -1.5402043   0.93601537 -0.8063357  -3.1273987   1.5566514
 -0.65589404 -1.9639912   1.5899909  -1.5717016 ]"
0.9953806132379572,0.9953918,"[-0.01206777-0.03595993j  0.02199252-0.02707615j  0.01016569+0.00481397j
 -1.2175525 -0.4394742j  -0.1023633 +0.76001793j  0.630507  -0.27704757j
 -0.03763805-0.00585902j  0.28998452+0.35638094j -0.00983798-0.01238976j
  0.0083048 +0.01137136j]","[-0.24668173+0.42721206j -0.6022388 -0.37103325j  0.71236235-0.28152534j
  0.20307255+1.279281j   -0.0080248 -0.01652921j -0.86469924+1.5668969j
 -0.82369334+1.5866958j   0.97102153-0.9233453j   0.9828189 -0.87240386j
  0.10047571-0.01006329j]","[ 0.         -1.3610251   2.0205595  -0.95981836 -0.77441883  2.394459
 -0.44647336 -0.16225624 -0.75353694  0.2409432 ]","[-1.468859   2.026358  -1.8943452  2.0420926 -2.0632174  1.9787686
 -3.121691  -1.8566195  3.0410254  1.5950215]"
0.9958370074191985,0.9958473,"[ 0.41494423-0.13863753j  0.43539342-0.22245476j  0.35850295-0.33658904j
 -0.35466948+0.26607445j -0.00448349-0.02353254j  0.11746357+1.374301j
  0.81001997+0.01602929j  0.6356101 -0.4237332j   0.51566905+0.34501672j
 -0.00865274-0.08194627j]","[ 0.1856668 +1.2803842j  -1.0324801 +0.82750607j -1.7196059 +0.838599j
  0.9795829 -0.83973426j -0.687272  +0.89224523j -1.3292764 -0.8775084j
  0.04151119-0.02044974j -0.03707775-0.02114864j -0.01592663-0.00952108j
  0.00676434+0.00293161j]","[ 0.         -2.4172566  -0.05012441  3.0510857   0.02207184  0.03915215
 -3.0961936   0.1762557  -2.8549097  -1.215508  ]","[-1.5459958   3.1073964  -2.669976   -0.07361031 -1.8498058  -1.5689098
 -1.1339133   1.4386227   2.4167545   1.4927571 ]"
0.9956948427947054,0.9956557,"[ 1.1570389 +0.9381134j   0.29710084-0.32842565j  0.23082083+0.45932925j
  0.02964943+0.10113927j  0.23159805-0.12729612j  2.0176966 +1.0463011j
 -0.67384636+0.01520634j -0.9140751 +0.9348276j   0.45557922+0.3422867j
  1.155275  +0.9476487j ]","[ 0.437178  +2.7568636j  -0.03155427+0.34014487j -1.2923783 +0.10317262j
 -0.5374327 +0.42122918j  0.0604446 +1.218737j    1.1847491 +0.10073793j
 -0.02453132-0.02461059j -0.01977795-0.01115759j -0.02089596-0.02510882j
  0.44112656+2.7535715j ]","[ 0.         0.8805649  2.0312035  2.8263652  1.4429929 -1.6983122
  0.6580188  1.3814638 -2.8959734 -1.3098208]","[-3.1321566  1.5818322 -1.6222174  2.5748813 -2.1625247 -1.9633906
 -0.8030827  2.1275647 -1.6180209  1.5757625]"
0.9963194609775236,0.9963306,"[-0.56215084-0.29455537j  0.24304383-0.5180041j   0.12221592+0.09944265j
 -0.21813795-0.17249838j  1.1648432 -1.494854j    1.8435466 -0.93930686j
  1.2317138 -0.613981j   -1.09714   -0.39132315j  0.25441206-0.46225202j
 -0.01464299-0.00180627j]","[ 0.12864082-0.20206451j  0.861927  +0.49572614j -0.57490015+0.06796231j
  0.94081163-0.9245148j   0.94692767+0.76381916j -2.6152074 -0.55635554j
 -2.5321534 -0.51781785j  0.02345113+0.13718113j -0.03478469+0.04396454j
 -0.00276182-0.00380841j]","[ 0.          1.5775383   1.5749562  -1.563811   -1.5683792  -1.5298439
  2.036072   -0.70200276  2.4400485  -2.273672  ]","[ 1.5793297   1.6493652  -0.99330044  0.63144064 -1.482959    2.5756218
 -3.1395917   1.9042008   1.5744593   1.5688269 ]"
0.9966849414423304,0.996687,"[ 0.8186843 -0.5254535j  -0.02468565+0.00410573j  0.03513006+0.04496045j
  0.0398691 +0.00689331j  0.05699307-0.00197026j -1.1116621 +0.6134644j
  0.7612741 +0.44454846j -0.4940806 +0.65392727j -0.4685451 +0.04234616j
  0.81751496-0.52366024j]","[-0.6906184 -1.0886463j   0.20011231+0.5141896j   1.0591291 -1.0446569j
  0.12625977-0.6782425j  -0.9533541 -2.1732461j   0.51498896-0.4310788j
  0.01342428-0.0407182j   0.03519518+0.01881047j  0.01445495+0.02753608j
 -0.6918506 -1.0875995j ]","[ 0.          0.6462476   2.0666606   0.86108804  1.4891818  -1.1657941
  2.7486498   0.41809487  0.71478105  2.0715053 ]","[-3.136741   -1.5670736  -1.4435672  -2.2881532  -1.9950091  -1.65396
  1.7685816   0.77985287  1.5766284   1.5710647 ]"
0.9961526673536696,0.9961651,"[-0.1446188 +0.06607062j  1.1891754 +0.33733892j  1.0178375 +0.19741616j
  0.15705732-0.26902986j -1.2020893 -0.13241355j  0.28713992-0.21154308j
 -0.09784392+0.9522809j  -0.71358633+0.27270958j  0.24504548+0.36930418j
 -0.108317  -0.04248951j]","[ 0.14148518+0.4602797j  -0.13453169-0.1933761j  -0.7758152 +0.13394548j
 -0.5473566 -0.46224672j  0.00644018+1.3048365j  -0.24599627-0.31440544j
  0.54245484+0.05964889j  0.03493509+0.12145158j  0.00282165-0.07684308j
 -0.01967981+0.08701096j]","[ 0.         -1.5782273   1.2189457   0.85788465 -2.390743   -2.584738
  0.6754813   0.39128256  0.27806377 -1.2902526 ]","[ 1.666074   1.9287217  3.1165512  1.084841   1.9957764  0.659456
 -1.4265273  1.2488887 -1.839827  -1.465358 ]"
0.9966773090740684,0.9966897,"[-0.15711273-0.16719556j -0.1447979 +0.16801263j  1.0953947 -0.24627514j
  1.0130699 -0.6853482j  -0.86748517-0.3131882j  -0.16604061-0.28003585j
  0.18803889-1.0937692j  -0.69821846-0.30196595j -0.20062993+0.33060429j
 -0.00643899+0.00859682j]","[-0.52660096+0.11646082j  0.5129583 +0.57179135j  0.5790517 -0.41277462j
 -0.15877825-0.32327896j -0.5961739 +1.0966692j  -0.50114876+0.26598892j
 -1.0200814 -0.02092248j -0.02748214+0.12479685j  0.03366806+0.01921133j
  0.00610865-0.01156702j]","[ 0.        -1.5482533 -1.5779033 -1.6909107 -1.7782218 -1.8012099
  1.3146341  1.2871912  1.3275731  2.9011652]","[-1.5351831  -0.70576024 -1.3069574  -2.8375697  -1.4825613  -1.9899554
  2.40089     1.3863318   1.3257954  -1.6043947 ]"
0.9965123097519268,0.9965263,"[-0.00828125+0.02768492j -0.02747658+0.00357001j -0.60169625+0.07048903j
  0.59436   -0.16921839j -0.69319916-0.30553168j  1.7783483 -1.6068997j
  0.71902794-0.09014641j  1.2123102 +0.79323506j -0.26238507+0.4731714j
  0.00564087-0.03873702j]","[ 3.9924237e-01+0.12091742j -3.4884831e-01+0.69083905j
  1.3029885e+00+0.8624151j  -7.9287905e-01-0.15994512j
  1.0394301e+00-0.65887326j -4.8363060e-04+0.00620668j
 -1.1380798e-02+0.01136458j -1.4365448e-02+0.00659095j
  2.9051641e-03-0.00317439j -3.0229457e-02+0.02417392j]","[ 0.         1.5295093 -1.6519711 -1.7745197 -1.5810361  1.4687283
  1.556617  -1.5039818 -1.3837607 -2.9300978]","[ 1.5778763   1.8314731   1.389127    0.23637962  1.0527442  -1.0332162
 -2.1559653   2.306928   -1.7932318   1.562566  ]"
