exact fidelity,bo_fidelity,betas_r,betas_i,gammas_r,gammas_i,phis,thetas
,,,,,,,
0.9955861762929823,0.9955984,"[-0.0026232067, 0.027151449, -0.03374483, -0.63929206, 0.94250906, -1.1920416, 1.1331254, 0.0538323, -0.3130946, -0.009267068]","[-0.0014430584, -0.018547617, -0.053650122, 1.1658154, -0.12600312, -0.3972325, 1.1311342, -0.032054096, 0.26754075, 0.018556962]","[-0.22359522, -0.7231863, 0.68294007, 0.5221587, -0.076731555, 0.23598076, -0.24681963, 0.0009997847, 0.058186572, 0.06029191]","[-0.49973166, 0.14162038, 0.41028225, -1.2022393, 0.043360215, 0.2989105, -0.37092417, -0.00037624376, -0.012331819, -0.035469774]","[0.0, 1.3961155, 1.2453349, 1.0953438, -2.1847992, -2.28222, -2.1398375, 0.5079949, -1.3179011, 1.5924122]","[-1.5561874, 2.275472, 1.7466791, 2.0304034, -1.5133946, 0.648654, -0.19145155, 1.5995128, 2.663192, 1.4905384]"
0.9964602292444995,0.99646986,"[-0.00064737914, -0.5274792, -0.14209414, 0.3831796, 0.0021109937, -0.042519484, 0.7636052, 0.49998814, 0.29850295, 6.1793675e-05]","[-3.2210814e-05, 0.4463694, 1.7933315, 1.3482479, -0.005372214, -1.3219924, 0.076037556, -0.5138668, 0.38823777, 8.0205624e-05]","[0.5010745, -1.5052351, 0.08454239, 1.7569891, 0.6346709, 1.0823115, -0.0042404365, -0.0013017458, 0.0015406075, -0.0018481484]","[0.016034484, -0.9608084, -1.6549327, -0.014488451, -0.42954433, 0.7022202, -0.0038378474, 0.0056435266, -0.0016866433, 0.0005743927]","[0.0, -1.5745307, -0.7655482, 1.8811753, 0.5796933, -2.565726, 0.5812142, 0.5824888, -2.5467646, -0.98429704]","[1.5732338, -1.2030032, -3.1294155, 3.1376164, -2.154267, -1.2538978, 2.1066706, -1.2576647, -1.9706455, -1.5689137]"
0.9949359256387298,0.9956294,"[0.0010140339, -0.00044833508, 0.021753615, 0.051265866, 0.75819534, 0.5227553, -0.76502275, 0.4052615, -0.34799978, 0.00053376245]","[0.00053937244, -0.0012067384, 0.017490216, -0.01304703, 0.55384374, -0.73756087, 0.07258436, -0.5999274, -0.343695, 0.0053413007]","[2.636092, 0.012443824, -0.7358306, 0.40474427, -2.984165, -2.2621918, 0.015523586, 0.077184714, -0.017216315, -2.6350374]","[0.4190833, -0.432337, 0.32447094, 0.7893773, -0.109091006, -0.9292956, -0.05342927, -0.0035620884, -0.037955165, -0.39807606]","[0.0, -0.7320552, 1.9630716, -2.370027, 1.9950516, 2.5282571, -0.7764368, 2.5251763, 2.5539582, -2.060015]","[-0.0271492, 1.5207536, -1.6562961, 2.018657, -1.2864621, -3.1387465, 0.9919865, 1.8733327, -1.2194766, 1.5638993]"
0.995886164396462,0.9958328,"[6.5347767e-06, 0.002059102, 0.0009163625, -1.4060676, 0.03028808, 2.739989, -0.5847559, 2.551019, -0.39401123, 0.0028729192]","[-0.00013008859, 0.00048024504, -0.0014477341, -0.0037045414, 0.8163274, -1.3026208, 0.5127039, -0.122763954, 0.42551112, -0.009690829]","[-0.3899006, 0.57316244, -0.7931359, 0.18173245, 0.000964786, -2.4349418, 2.4416807, 0.005005596, -0.00042428114, -0.005342995]","[-0.39146677, -0.55157095, 0.3414926, 1.5489961, -0.0011580292, -1.1651034, 1.1758933, 0.013044684, 0.0012491689, 0.007544092]","[0.0, -1.5533143, -1.5631359, -1.597816, -1.626034, -1.6353753, -0.38526773, -0.27387214, 1.0983522, -0.45735598]","[1.5757606, -1.140713, 1.5744059, 2.4605734, 0.95235944, -1.6148819, 0.0022892952, -3.1331623, -2.2819169, 1.56236]"
0.9961906999814039,0.99619323,"[0.065717466, -0.011736141, 0.0005303437, 0.0035535956, 1.3877428, 0.4984405, 0.31041184, 0.053378887, 0.6385817, 0.065674044]","[1.5812736, 0.011016973, -0.018761091, 0.015950015, 0.54737395, -1.4640172, -0.87953097, 0.6135854, -0.062129408, 1.5773599]","[1.418391, 0.33849597, 0.12522796, -1.0475554, 0.7408813, -0.02283603, -0.015908992, -0.004872406, 0.0047064964, 1.414071]","[0.24241747, -0.9158984, 0.6000691, -0.83456594, -1.3718046, 0.032737423, 0.027781874, 0.0030231595, 0.0020569253, 0.24189518]","[0.0, 0.81113863, -2.1159046, -1.3001214, 0.8784411, -0.24235177, 2.0415862, -1.6172189, -1.6345814, 2.0612438]","[3.136113, -1.5799026, 0.99619174, 0.77288556, 1.5324214, 0.9116552, -2.8844054, 1.202893, 1.331187, 1.5771587]"
0.9967679168582323,0.9967786,"[0.0013847353, 1.0928215, 1.0787609, 1.8399953, -1.8435981, -0.5434585, -0.57567674, -0.66898674, -0.109228976, 0.00052022666]","[0.0016311259, 1.6620002, 1.6679025, -0.058019146, 0.048881557, 1.1467664, -0.5137069, 0.24467891, -0.48296845, -0.02442443]","[0.09342632, 0.33189622, 1.0272089, 0.10161271, -0.7879413, -0.56446093, 0.00016962017, -0.004545588, 0.011813587, 0.020204792]","[-0.4897908, 2.0188828, 2.2436624, 1.1113484, -0.75886303, -1.2398984, -0.0029889445, -0.0027675282, -0.0006133465, 0.00858525]","[0.0, 1.5340307, -2.4499028, -0.18119884, 3.1144474, 2.9104502, -0.28737712, -0.32501817, -0.3509817, -1.9244143]","[1.5795605, -1.1847471, 3.134495, 1.8186929, 0.030396938, -2.1947927, 1.9533451, -1.1493877, 1.9979374, -1.593501]"
0.9964234856282885,0.996423,"[-0.024526674, -0.001468513, 0.731406, -0.0014065314, 0.71992266, 0.11761218, 0.757472, -0.57167447, -0.24993941, -0.0017387446]","[-0.0027897577, 0.017478578, 1.059633, -0.000574614, 1.067466, 1.3388621, -0.15065339, -0.4422493, 0.42585286, 0.0017998631]","[-0.37821588, -0.6101645, -2.2035275, 1.1340028, -0.7560329, 1.2182211, -0.008731978, 0.0042158565, -0.011340694, 0.0010296772]","[-0.25588945, 0.4345048, -1.700655, -1.1269199, -2.0746267, -0.035383653, -0.02489331, -0.017761396, -0.024956746, -0.00028461058]","[0.0, 1.5692036, 1.5720084, -1.3431681, 2.1121037, -0.48868012, 2.649543, -0.48693705, -0.489254, -2.05209]","[-1.5716397, 1.3233197, -2.0805616, 0.0039126873, 3.1310837, -1.2531378, 2.1392825, -1.8507799, -1.9716334, -1.5755298]"
0.996414670008211,0.9964247,"[0.0014479039, 0.0003388445, 0.0047782534, 0.23481761, 0.14352043, -1.1288726, -0.50121504, 0.93748313, -1.286218, -0.0009504412]","[-0.00041262887, -0.001409223, -0.004569121, 1.6081313, -0.026390927, 0.10802148, -0.4210871, -1.5013019, 0.45853516, -0.012570857]","[-0.4419903, -0.5735252, 0.7638508, 0.3190096, -0.32655182, -0.32731694, -0.003247376, 0.057862565, -0.06552458, 0.007888897]","[0.3685562, -0.605279, 0.5171412, -1.6222814, 1.5262251, 1.5247109, -0.0023018767, 0.029291242, -0.035128433, 0.003861294]","[0.0, 1.5909874, 1.6046488, 1.6256077, 1.6075547, -0.7116964, -3.0724719, 0.05487585, 0.030434132, -1.5249993]","[-1.5605228, -2.0086124, -1.5044947, 0.60257816, 1.5031025, -3.1319005, 2.2089841, -2.3677917, 0.109507084, -1.5822018]"
0.9965390900292301,0.99652594,"[0.014757544, 0.4100612, 0.056332387, 0.5295176, -0.023871092, -1.2180521, 0.024760947, 0.6108715, -0.32723367, 0.0151507845]","[-0.04110372, -0.23123512, -0.26953924, -0.51588887, -0.019265741, 0.30782455, -0.7625787, 0.36106035, 0.36530146, -0.014794946]","[-0.43818113, -2.1519425, 0.21571338, -2.2296283, -0.7369317, -0.5077324, 0.028893232, 0.032593526, -0.0032838415, 0.0045221923]","[0.2351073, 1.3530631, -0.86167055, -0.17344892, -0.23383674, 1.2184631, -0.021193886, 0.017771952, 0.013955061, -0.011932153]","[0.0, -1.567324, 1.4665563, 1.599829, -1.505326, 1.6370285, 1.6660264, -1.4549311, -1.3677839, 0.24269843]","[-1.5563223, -1.123174, -0.0069594383, -3.1257498, -1.3004458, 1.0302589, -1.9931899, 2.0072997, 1.9526708, 1.5211318]"
